Nummer;Spalte;Modell;Intervall;Wahrscheinlichkeit
3.0;Gesetzlich_bis_Vorgespräch_Wartezeit_mean;gamma;12-16 Wochen;0.06925314993607223
3.0;Gesetzlich_bis_Vorgespräch_Wartezeit_mean;gamma;16-45 Wochen;0.10751906839939152
3.0;Gesetzlich_bis_Vorgespräch_Wartezeit_mean;weibull;0-4 Wochen;0.49583409697332115
3.0;Gesetzlich_bis_Vorgespräch_Wartezeit_mean;weibull;4-8 Wochen;0.21024068934831075
3.0;Gesetzlich_bis_Vorgespräch_Wartezeit_mean;weibull;8-12 Wochen;0.11486904410632182
3.0;Gesetzlich_bis_Vorgespräch_Wartezeit_mean;weibull;12-16 Wochen;0.0670425314938593
3.0;Gesetzlich_bis_Vorgespräch_Wartezeit_mean;weibull;16-45 Wochen;0.10654454239939437
3.0;Vorgespräch_bis_Beh_mean;lognorm;0-4 Wochen;0.3695108289802334
3.0;Vorgespräch_bis_Beh_mean;lognorm;4-8 Wochen;0.29738005448548294
3.0;Vorgespräch_bis_Beh_mean;lognorm;8-12 Wochen;0.1432848094958099
3.0;Vorgespräch_bis_Beh_mean;lognorm;12-16 Wochen;0.0739442755987636
3.0;Vorgespräch_bis_Beh_mean;lognorm;16-45 Wochen;0.10614349899639097
3.0;Vorgespräch_bis_Beh_mean;gamma;0-4 Wochen;0.3175868713745026
3.0;Vorgespräch_bis_Beh_mean;gamma;4-8 Wochen;0.3245436462830861
3.0;Vorgespräch_bis_Beh_mean;gamma;8-12 Wochen;0.18727584687430332
3.0;Vorgespräch_bis_Beh_mean;gamma;12-16 Wochen;0.09331788312874467
3.0;Vorgespräch_bis_Beh_mean;gamma;16-45 Wochen;0.07713442108252122
3.0;Vorgespräch_bis_Beh_mean;weibull;0-4 Wochen;0.27606278642898163
3.0;Vorgespräch_bis_Beh_mean;weibull;4-8 Wochen;0.34563335816570506
3.0;Vorgespräch_bis_Beh_mean;weibull;8-12 Wochen;0.22132033912811355
3.0;Vorgespräch_bis_Beh_mean;weibull;12-16 Wochen;0.10331431442869932
3.0;Vorgespräch_bis_Beh_mean;weibull;16-45 Wochen;0.05366893332062794
3.0;Privat_Wartezeit_mean;lognorm;0-4 Wochen;0.7285065436641739
3.0;Privat_Wartezeit_mean;lognorm;4-8 Wochen;0.14096490019710728
3.0;Privat_Wartezeit_mean;lognorm;8-12 Wochen;0.0535220576983686
3.0;Privat_Wartezeit_mean;lognorm;12-16 Wochen;0.026450846103732717
3.0;Privat_Wartezeit_mean;lognorm;16-45 Wochen;0.042550482169776194
3.0;Privat_Wartezeit_mean;gamma;0-4 Wochen;0.6037399922623655
3.0;Privat_Wartezeit_mean;gamma;4-8 Wochen;0.18116458377095512
3.0;Privat_Wartezeit_mean;gamma;8-12 Wochen;0.09216701561441276
